dim,dim_cn,decile,H,n,n_day,mean,median,exw,t,win,payoff,pf,p10,p90,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings
ret10,过去10日涨幅,3,1,1050486,2860,0.0007125141414098584,0.0,0.00011703969906713543,1.6273261303575137,0.48823687321868164,1.0636888543004999,1.076379524319885,-0.028353288769721985,0.029779760167002678,0.14953233852072878,-0.5763764119647501,0.5885249885381462,0.19447762961216145,367.3027972027972
ret10,过去10日涨幅,3,5,1048364,2856,0.00370019939290978,0.0,0.0007222156252509184,4.600237009114453,0.49498170482771253,1.1744045602231532,1.1785676495984414,-0.06327896788716317,0.07291665449738502,0.14953233852072878,-0.5763764119647501,0.5885249885381462,0.19447762961216145,367.3027972027972
ret10,过去10日涨幅,3,10,1045726,2851,0.007134441163324136,0.0004462664801394567,0.001017008190106116,4.6835110548866705,0.5005622887831038,1.2253238894991403,1.2477375950927045,-0.08945684880018234,0.10726319998502731,0.14953233852072878,-0.5763764119647501,0.5885249885381462,0.19447762961216145,367.3027972027972
ret10,过去10日涨幅,3,20,1040428,2841,0.014059126821925769,0.0003372615756234154,0.0013310587261853718,3.9870668664371975,0.5002671977301649,1.3384389028293164,1.353908290647925,-0.12451197654008862,0.16052162200212494,0.14953233852072878,-0.5763764119647501,0.5885249885381462,0.19447762961216145,367.3027972027972
ret10,过去10日涨幅,4,1,1050448,2860,0.0007810789657856502,0.0,0.0002042032743426982,3.497650976969034,0.48829451814844715,1.0695772520111009,1.0864804310930036,-0.02745099049061537,0.02897195015102625,0.17843772827389692,-0.5216935482744338,0.6726004551825946,0.21635869235972138,367.28951048951046
ret10,过去10日涨幅,4,5,1048329,2856,0.0037035253102316885,0.0,0.0007200054777652323,5.4844505165484945,0.497690133536323,1.1652909823540585,1.1843128799823002,-0.061500641703605655,0.07074012011289615,0.17843772827389692,-0.5216935482744338,0.6726004551825946,0.21635869235972138,367.28951048951046
ret10,过去10日涨幅,4,10,1045709,2851,0.007189044561582177,0.0013717561960220337,0.0010609510653136218,5.60314204663565,0.5046738624225287,1.212008368380016,1.2570854811457268,-0.08714598566293716,0.10406914949417116,0.17843772827389692,-0.5216935482744338,0.6726004551825946,0.21635869235972138,367.28951048951046
ret10,过去10日涨幅,4,20,1040411,2841,0.01412192304530452,0.0016447581583634019,0.001388451086487207,4.577633900886258,0.5043795192476819,1.3270855796749133,1.3656990399791475,-0.12143924832344055,0.15632367134094238,0.17843772827389692,-0.5216935482744338,0.6726004551825946,0.21635869235972138,367.28951048951046
ret10,过去10日涨幅,5,1,1050125,2860,0.0007968619376902661,0.0,0.00021293021049997407,4.037770495406977,0.487261040352339,1.0752755567876662,1.0889511582671403,-0.02718122787773609,0.028806574642658234,0.18389488779479857,-0.5175068670896983,0.6956445178301593,0.21854945429989112,367.17657342657344
ret10,过去10日涨幅,5,5,1048005,2856,0.0039088422047930315,0.0003035204717889428,0.0009148864036265542,7.685640919146338,0.5002934146306554,1.1644426777316068,1.1971719068376918,-0.061038929224014285,0.07006891667842864,0.18389488779479857,-0.5175068670896983,0.6956445178301593,0.21854945429989112,367.17657342657344
ret10,过去10日涨幅,5,10,1045328,2851,0.0075605766985248,0.0017590284696780145,0.0013445318661339366,7.62968350992906,0.507099207138812,1.2164914394416975,1.274284182158967,-0.08602747693657875,0.10344820693135262,0.18389488779479857,-0.5175068670896983,0.6956445178301593,0.21854945429989112,367.17657342657344
ret10,过去10日涨幅,5,20,1040051,2841,0.014210537147766385,0.001964627532288432,0.0013970224685936413,4.851612732303931,0.5057425068578367,1.3245338802442617,1.3708888651600535,-0.12072576582431793,0.15463921427726746,0.18389488779479857,-0.5175068670896983,0.6956445178301593,0.21854945429989112,367.17657342657344
ret10,过去10日涨幅,6,1,1050833,2860,0.0008871128644613571,0.0,0.00028016303756062263,5.614371480313842,0.48572132774665433,1.0922275291893115,1.0977916361513806,-0.027589319646358447,0.029347822815179826,0.20548951277102878,-0.5159467338501826,0.7590312114946621,0.23542721199888067,367.4241258741259
ret10,过去10日涨幅,6,5,1048715,2856,0.003926765930308097,0.0,0.0008253354427431345,6.652600135837015,0.4999299142283652,1.1664138747140764,1.197010141051072,-0.06145252287387848,0.07052025049924851,0.20548951277102878,-0.5159467338501826,0.7590312114946621,0.23542721199888067,367.4241258741259
ret10,过去10日涨幅,6,10,1046066,2851,0.007646087812642406,0.001727149821817875,0.0013225980108141795,7.030198145377602,0.5069546281018598,1.218826333441146,1.2755228664127027,-0.08673050254583359,0.10386768355965614,0.20548951277102878,-0.5159467338501826,0.7590312114946621,0.23542721199888067,367.4241258741259
ret10,过去10日涨幅,6,20,1040758,2841,0.01403937269046101,0.0014727878151461482,0.001160967733849261,4.088181498578257,0.5035954563885169,1.3277954074864948,1.3620572727503177,-0.12143073007464407,0.15601359456777583,0.20548951277102878,-0.5159467338501826,0.7590312114946621,0.23542721199888067,367.4241258741259
