dim,dim_cn,decile,H,n,gross,exw,t
vr20m,量比VR20,6,60,1017577,0.031773775815963745,0.0036606609355658293,13.306884355732638
vr20m,量比VR20,7,5,1046344,0.003900055540725589,0.0010829941602423787,13.022959678447204
vr20m,量比VR20,7,10,1043690,0.007246420718729496,0.0016855323920026422,14.191368197793816
vr20m,量比VR20,7,20,1038406,0.013012390583753586,0.002097965683788061,11.757815009577664
vr20m,量比VR20,7,60,1017306,0.030484966933727264,0.002439831616356969,7.9211887208599885
vr20m,量比VR20,8,5,1046066,0.0035791483242064714,0.0007370031089521945,6.914326128686035
vr20m,量比VR20,8,10,1043420,0.006702229380607605,0.0011214610422030091,7.810150583281093
vr20m,量比VR20,8,20,1038125,0.01217520423233509,0.0011437291977927089,5.371306065952298
vr20m,量比VR20,8,60,1017048,0.0293277595192194,0.001262774458155036,3.6185196894668246
vr20m,量比VR20,9,5,1046324,0.0027811815962195396,-0.0002089038898702711,-1.4177937647243313
vr20m,量比VR20,9,10,1043672,0.0056726946495473385,-0.00014085561269894242,-0.7068197571266623
vr20m,量比VR20,9,20,1038384,0.010632778517901897,-0.00075707514770329,-2.7103834827541604
vr20m,量比VR20,9,60,1017287,0.026418626308441162,-0.0020173920784145594,-4.803160013833538
vr20m,量比VR20,10,5,1047742,-0.0009396933019161224,-0.0041289981454610825,-15.552203462442575
vr20m,量比VR20,10,10,1045093,0.0001368833618471399,-0.006019786465913057,-18.708241340617775
vr20m,量比VR20,10,20,1039792,0.0034283052664250135,-0.008576789870858192,-19.630747626349944
vr20m,量比VR20,10,60,1018665,0.016926957294344902,-0.012333097867667675,-22.065980100460536
vt_5_20,量能趋势,1,5,1044860,0.002387495944276452,-0.000746726174838841,-4.166032751820596
vt_5_20,量能趋势,1,10,1042220,0.005060850642621517,-0.0010071290889754891,-3.9955135889843976
vt_5_20,量能趋势,1,20,1036926,0.010358036495745182,-0.00106220250017941,-2.7093880334884304
vt_5_20,量能趋势,1,60,1015865,0.02960836887359619,-0.001228701788932085,-1.6847781326551647
vt_5_20,量能趋势,2,5,1046281,0.0028503364883363247,-0.0001512522139819339,-1.1746627734261343
vt_5_20,量能趋势,2,10,1043636,0.005741709843277931,-3.665764961624518e-05,-0.20653874677620182
vt_5_20,量能趋势,2,20,1038340,0.01160401850938797,0.0004133922338951379,1.6033126115661402
vt_5_20,量能趋势,2,60,1017250,0.0304684080183506,0.0010923802619799972,2.645517887836921
vt_5_20,量能趋势,3,5,1046547,0.003312076209113002,0.0004354681877885014,4.112769995514437
vt_5_20,量能趋势,3,10,1043898,0.006352693308144808,0.0007296367548406124,4.997288285747742
vt_5_20,量能趋势,3,20,1038603,0.012217792682349682,0.0011884716805070639,5.7861526005688075
vt_5_20,量能趋势,3,60,1017519,0.03124134987592697,0.0023726343642920256,6.9356498184679625
vt_5_20,量能趋势,4,5,1046304,0.003564493265002966,0.000712424167431891,7.953904669634625
