variant,year,n_day,ret,mdd
L 深度超跌 | 市场 Close>MA60,2016,244,0.010985008248628247,-0.15509369105185722
L 深度超跌 | 市场 Close>MA60,2017,244,-0.0572043430571213,-0.1498387905086519
L 深度超跌 | 市场 Close>MA60,2018,243,-0.18878728762382047,-0.20116087039270225
L 深度超跌 | 市场 Close>MA60,2019,244,0.32230700726027295,-0.1681468534441144
L 深度超跌 | 市场 Close>MA60,2020,243,-0.10154486879636127,-0.201234408658285
L 深度超跌 | 市场 Close>MA60,2021,243,0.26440156867346953,-0.08706564785189064
L 深度超跌 | 市场 Close>MA60,2022,242,-0.016845805790747126,-0.08763629000140538
L 深度超跌 | 市场 Close>MA60,2023,242,-0.0050916237863788405,-0.13512621617432796
L 深度超跌 | 市场 Close>MA60,2024,242,0.22472165568282754,-0.14525843413678918
L 深度超跌 | 市场 Close>MA60,2025,243,0.33366751387437255,-0.10494203286837622
L 深度超跌 | 市场 Close>MA60,2026,175,-0.09519209754290558,-0.21151860330772554
L 深度超跌 | 市场 Close<MA60,2015,244,0.7060069015513861,-0.36326457590079364
L 深度超跌 | 市场 Close<MA60,2016,244,0.17330457781512254,-0.243478227096939
L 深度超跌 | 市场 Close<MA60,2017,244,-0.12258470070807703,-0.2153356434267274
L 深度超跌 | 市场 Close<MA60,2018,243,-0.06872992306234316,-0.33273763607642515
L 深度超跌 | 市场 Close<MA60,2019,244,0.1906201994573551,-0.10427328295421012
L 深度超跌 | 市场 Close<MA60,2020,243,0.27756226992462096,-0.08204657566252793
L 深度超跌 | 市场 Close<MA60,2021,243,0.08577305437866722,-0.1401520720413093
L 深度超跌 | 市场 Close<MA60,2022,242,-0.006958234550719644,-0.31642262299956403
L 深度超跌 | 市场 Close<MA60,2023,242,0.06439266990522396,-0.09791397858943551
L 深度超跌 | 市场 Close<MA60,2024,242,0.01599986291661093,-0.36090822522144406
L 深度超跌 | 市场 Close<MA60,2025,243,0.27859711797249354,-0.07852845591517532
L 深度超跌 | 市场 Close<MA60,2026,175,0.1726815439548639,-0.1836024657416896
L 深度超跌 | 市场 MA20>MA60,2015,244,0.6410293855185485,-0.47388532813400286
L 深度超跌 | 市场 MA20>MA60,2016,244,-0.10558815654758125,-0.248942810098996
L 深度超跌 | 市场 MA20>MA60,2017,244,-0.11821288667805818,-0.22487493514123258
L 深度超跌 | 市场 MA20>MA60,2018,243,-0.11136179224075116,-0.1278302410156782
L 深度超跌 | 市场 MA20>MA60,2019,244,0.10363872931828944,-0.25377163331028596
L 深度超跌 | 市场 MA20>MA60,2020,243,0.09336955272213499,-0.21086596864567098
L 深度超跌 | 市场 MA20>MA60,2021,243,0.2325714519702473,-0.08706564785189119
L 深度超跌 | 市场 MA20>MA60,2022,242,-0.06323271940824493,-0.13596094964859884
L 深度超跌 | 市场 MA20>MA60,2023,242,-0.08698081346860398,-0.1890732415678662
L 深度超跌 | 市场 MA20>MA60,2024,242,-0.17470503932125114,-0.2578721071182085
L 深度超跌 | 市场 MA20>MA60,2025,243,0.1991097483695461,-0.17522955298179843
L 深度超跌 | 市场 MA20>MA60,2026,175,-0.10862019787641242,-0.2389253459746441
L 深度超跌 | 市场 MA20<MA60,2015,244,0.385326218062795,-0.4118898575536363
L 深度超跌 | 市场 MA20<MA60,2016,244,0.32622722626512046,-0.1776717425188109
L 深度超跌 | 市场 MA20<MA60,2017,244,-0.06187863146323758,-0.16179944932536172
L 深度超跌 | 市场 MA20<MA60,2018,243,-0.14986985876704606,-0.3208567936671092
L 深度超跌 | 市场 MA20<MA60,2019,244,0.42652245785226905,-0.0872761447163024
L 深度超跌 | 市场 MA20<MA60,2020,243,0.04981190850633688,-0.11243804775340738
L 深度超跌 | 市场 MA20<MA60,2021,243,0.11381222645168765,-0.1401520720413093
L 深度超跌 | 市场 MA20<MA60,2022,242,0.04221528329820057,-0.3164226229995638
L 深度超跌 | 市场 MA20<MA60,2023,242,0.15985863001650102,-0.09791397858943551
L 深度超跌 | 市场 MA20<MA60,2024,242,0.5077240181636293,-0.34993841332440256
L 深度超跌 | 市场 MA20<MA60,2025,243,0.42207453645668225,-0.034378090204848166
L 深度超跌 | 市场 MA20<MA60,2026,175,0.19034728575646542,-0.15300268517151916
L 深度超跌 | 市场 HV20 > 中位,2015,244,0.7588170848933915,-0.47388532813400286
L 深度超跌 | 市场 HV20 > 中位,2016,244,0.2853401122859742,-0.243478227096939
L 深度超跌 | 市场 HV20 > 中位,2017,244,0.22167669586366334,-0.10331860242038671
L 深度超跌 | 市场 HV20 > 中位,2018,243,0.18363940297594517,-0.17412878552965205
L 深度超跌 | 市场 HV20 > 中位,2019,244,0.5967593657308561,-0.1697318220917663
L 深度超跌 | 市场 HV20 > 中位,2020,243,0.26247247889992376,-0.11956766902869209
L 深度超跌 | 市场 HV20 > 中位,2021,243,0.19166063471699757,-0.06456445315870918
L 深度超跌 | 市场 HV20 > 中位,2022,242,0.2100022773219501,-0.2307899473035161
L 深度超跌 | 市场 HV20 > 中位,2023,242,0.05554703785287396,-0.05872767201683071
L 深度超跌 | 市场 HV20 > 中位,2024,242,0.5592955947699458,-0.3095535482766444
L 深度超跌 | 市场 HV20 > 中位,2025,243,0.5915018814451314,-0.07956749840164645
L 深度超跌 | 市场 HV20 > 中位,2026,175,0.14039643796415135,-0.1240689719004835
L 深度超跌 | 市场 HV20 < 中位,2015,244,0.29255114241065083,-0.018928185540001197
L 深度超跌 | 市场 HV20 < 中位,2016,244,-0.07713660614626472,-0.11022105354931944
L 深度超跌 | 市场 HV20 < 中位,2017,244,-0.3228786827902481,-0.3575425163409358
L 深度超跌 | 市场 HV20 < 中位,2018,243,-0.36174976672120607,-0.3737157005014621
L 深度超跌 | 市场 HV20 < 中位,2019,244,-0.014024613528740959,-0.20181153051613254
L 深度超跌 | 市场 HV20 < 中位,2020,243,-0.09080602070143406,-0.18717619076084047
L 深度超跌 | 市场 HV20 < 中位,2021,243,0.1520504354881238,-0.21356217842438474
L 深度超跌 | 市场 HV20 < 中位,2022,242,-0.19313112460642867,-0.23347157137698737
L 深度超跌 | 市场 HV20 < 中位,2023,242,0.003245847786357725,-0.19328511621985178
L 深度超跌 | 市场 HV20 < 中位,2024,242,-0.20200054533704925,-0.2538261026265314
L 深度超跌 | 市场 HV20 < 中位,2025,243,0.0714554971338881,-0.14206068470294342
L 深度超跌 | 市场 HV20 < 中位,2026,175,-0.0695766027381245,-0.2182010650534031
L 深度超跌 | Breadth > 中位,2015,244,0.4811812124460002,-0.33470727982743387
L 深度超跌 | Breadth > 中位,2016,244,-0.03882988554044975,-0.19091653443764067
L 深度超跌 | Breadth > 中位,2017,244,0.10093331811973494,-0.09158924218478515
L 深度超跌 | Breadth > 中位,2018,243,-0.11961606575080597,-0.30129063798146916
L 深度超跌 | Breadth > 中位,2019,244,0.5011999556336713,-0.10339428524801819
L 深度超跌 | Breadth > 中位,2020,243,0.28470415903577484,-0.15587933717861824
L 深度超跌 | Breadth > 中位,2021,243,0.3943394448022417,-0.06722721017827127
L 深度超跌 | Breadth > 中位,2022,242,0.07690350920517353,-0.1695932024691419
L 深度超跌 | Breadth > 中位,2023,242,-0.07271542055332691,-0.2128514739015367
L 深度超跌 | Breadth > 中位,2024,242,0.4759015894037144,-0.1314037465699951
L 深度超跌 | Breadth > 中位,2025,243,0.20532486542947392,-0.08451328503371414
L 深度超跌 | Breadth > 中位,2026,175,0.06987765870705998,-0.13927650798572988
L 深度超跌 | Breadth < 中位,2015,244,0.5348297786036122,-0.3006459755859995
L 深度超跌 | Breadth < 中位,2016,244,0.2341138373279017,-0.1366447929926795
L 深度超跌 | Breadth < 中位,2017,244,-0.24861631500038384,-0.3011583115055305
L 深度超跌 | Breadth < 中位,2018,243,-0.14189923773241386,-0.28401418833972947
L 深度超跌 | Breadth < 中位,2019,244,0.04873799577453686,-0.182675779317636
L 深度超跌 | Breadth < 中位,2020,243,-0.10653953381185999,-0.19975879195590096
L 深度超跌 | Breadth < 中位,2021,243,-0.015409656308989383,-0.11924718645253096
L 深度超跌 | Breadth < 中位,2022,242,-0.09340700593778839,-0.25084570673118267
L 深度超跌 | Breadth < 中位,2023,242,0.14201530613287505,-0.08465426116703245
L 深度超跌 | Breadth < 中位,2024,242,-0.15691056692507543,-0.34138701253882586
L 深度超跌 | Breadth < 中位,2025,243,0.41474177500330467,-0.16732741947899132
L 深度超跌 | Breadth < 中位,2026,175,-0.00824966350057299,-0.1936350149444912
