entry,exit,n,mean,median,win,p10,p25,p50,p75,p90,ex,exw,t,hold_mean
EN6_金叉+不过热+量温和+RS正,XA_固定持有60日,68696,0.042044401098406944,-0.0012236183552445379,0.4952544544078258,-0.18700508911989122,-0.09838426503389383,-0.0012236183552445379,0.12401369473109125,0.2993118604115529,0.0009474810593342531,-0.0038504268036281945,-2.131486463788132,60.0
EN6_金叉+不过热+量温和+RS正,XB_跌破MA20,70304,0.005534209697001729,-0.014388534133441266,0.2901541875284479,-0.050642480131354806,-0.03212133511551382,-0.014388534133441266,0.0050250869507765805,0.06485549030562221,-0.00847844735032741,-0.00723309446030826,-5.368599410009973,8.22143832498862
EN6_金叉+不过热+量温和+RS正,XC_跌破MA60,70208,0.005232700216831076,-0.012406968491110004,0.328125,-0.06839378787507804,-0.03956304214051093,-0.012406968491110004,0.007476643498604052,0.047154018769012596,-0.008803320359612876,-0.00612087562154061,-3.5529365350394486,11.87371809480401
EN6_金叉+不过热+量温和+RS正,XD_ATR2倍止损,69162,0.019683561048151877,-0.057777796605008924,0.31884560886035684,-0.11832639835761795,-0.08803915620228286,-0.057777796605008924,0.06090959686265418,0.2523356860455534,0.006308837533334933,0.0007256121901958778,0.3379608741567351,34.34255805210954
EN6_金叉+不过热+量温和+RS正,XD_ATR3倍止损,68920,0.02371538766090267,-0.06009813131670777,0.3915264074289031,-0.15039079349172302,-0.1110245762341919,-0.06009813131670777,0.09514146268214863,0.27788859576748653,0.01029418027696596,0.0024135874622146837,0.9991844214682065,42.12498549042368
EN6_金叉+不过热+量温和+RS正,XE_固定止损-5%,69397,0.016107729801739794,-0.05515426099776599,0.2717408533510094,-0.08658009429805721,-0.06772907402072692,-0.05515426099776599,0.02354401638085024,0.21947013005318258,0.002651280889959548,0.00014286239534649442,0.07286231782667581,29.40813003443953
EN6_金叉+不过热+量温和+RS正,XE_固定止损-8%,69144,0.020921261048910494,-0.0801236766539356,0.35634328358208955,-0.11420558153306051,-0.09487666068493905,-0.0801236766539356,0.07576456416767868,0.25966273012104657,0.007494818469896824,0.0020122467801121985,0.924409499174434,37.97658509776698
EN6_金叉+不过热+量温和+RS正,XE_固定止损-10%,69018,0.023321190132461884,-0.06946669175994996,0.3966211712886493,-0.1314112352040343,-0.11203612526376205,-0.06946669175994996,0.09259257972096813,0.273578074790159,0.009877683420073783,0.0028554831812313227,1.2258026287630304,42.45861949056768
EN6_金叉+不过热+量温和+RS正,XE_固定止损-15%,68886,0.029730567818732595,-0.017656307166852625,0.457698226054641,-0.1716329138203861,-0.15231049225549534,-0.017656307166852625,0.1136077675031979,0.2910167393340347,0.01627642652825012,0.006395333049635832,2.480807638125342,50.58670847487153
EN6_金叉+不过热+量温和+RS正,XF_移动止盈8%,69870,0.009237547769043836,-0.03637219272607756,0.3708887934735938,-0.0980832321184383,-0.07836708530675257,-0.03637219272607756,0.05285786773659579,0.17376003398302406,-0.004642458891091163,-0.0022306951003660115,-1.6207249090531852,23.439144124803207
EN6_金叉+不过热+量温和+RS正,XF_移动止盈12%,69377,0.01517596342665558,-0.03660285950269959,0.402727128587284,-0.13291139764491347,-0.10715663274251319,-0.03660285950269959,0.07855978460073132,0.22557494147101873,0.0014691259805553094,0.00032651734731948726,0.1815215176238418,35.2264295083385
EN6_金叉+不过热+量温和+RS正,XG_MACD死叉,70284,0.008968337235260712,-0.018867882929894553,0.333119913493825,-0.06645360002410643,-0.04204241173516948,-0.018867882929894553,0.02272730304774473,0.10975612591879993,-0.005048139575359271,-0.005410635858950781,-4.322354052952948,11.729141767685391
EN6_金叉+不过热+量温和+RS正,XH_hist连3日降,70271,0.004902889860479634,-0.011041042502204279,0.4116491867199841,-0.06804733559360443,-0.03982300018326079,-0.011041042502204279,0.031049726985820314,0.09151559423813693,-0.009122103316666704,-0.006366590938055614,-4.774786148698893,8.35415747605698
EN7_0轴下金叉+距60日高点<-15%,XA_固定持有5日,167908,0.004555219652485886,0.0,0.49138814112490176,-0.06842100405152299,-0.033082732563658096,0.0,0.0340425438843997,0.07801599947315117,-0.0003643416039569697,-0.005683160955679,-10.728580354729976,5.0
EN7_0轴下金叉+距60日高点<-15%,XA_固定持有10日,167684,0.009778121024826813,0.0030211452072894662,0.5140442737530116,-0.09342105882319729,-0.04542375062225576,0.0030211452072894662,0.054104449963653156,0.1158858186586159,0.0011247571775139821,-0.007578111127218931,-10.769349080005743,10.0
EN7_0轴下金叉+距60日高点<-15%,XA_固定持有20日,167026,0.023628335255480862,0.009632319724222516,0.5351801515931651,-0.12988888442239555,-0.060740723732698926,0.009632319724222516,0.08553463557102275,0.1826086653653528,0.00260570246054453,-0.01034691708686939,-10.538698968168589,20.0
EN7_0轴下金叉+距60日高点<-15%,XA_固定持有30日,166910,0.030619973716948787,0.010463018098121335,0.5312923132226949,-0.1550459377011717,-0.07400019077602563,0.010463018098121335,0.10363189280179474,0.22443042695629797,0.003308619883273681,-0.011301430851776314,-8.678335145735856,30.0
EN7_0轴下金叉+距60日高点<-15%,XA_固定持有40日,164370,0.03276869244510631,0.004193173803146766,0.5103607714303097,-0.17383362471231767,-0.08793643728179715,0.004193173803146766,0.10984591189914555,0.25419054539994096,0.002363994145153561,-0.012292569304297946,-9.008771334431017,40.0
EN7_0轴下金叉+距60日高点<-15%,XA_固定持有60日,160778,0.04770846076817819,0.004842024444472681,0.5104927291047282,-0.19989504138759454,-0.10201530963855296,0.004842024444472681,0.14023573363147052,0.322799853554551,0.00031962086666811987,-0.01734769803836587,-10.796179002402466,60.0
EN7_0轴下金叉+距60日高点<-15%,XB_跌破MA20,167975,0.003298680798264087,-0.006079026324850578,0.37744307188569726,-0.042640427259877246,-0.022130026015065085,-0.006079026324850578,0.009150894069593019,0.03484878191993165,-0.017629606655107904,-0.012199220174481018,-8.410929463134915,4.407328471498735
