entry,exit,seg,n,mean,win,exw,t
EN3_0轴上金叉,XE_固定止损-10%,验证2023-2024,30252,-0.02142289913376839,0.25634668782229275,-0.016573829001761315,-3.9035644173822126
EN3_0轴上金叉,XE_固定止损-10%,测试2025-2026,30130,0.026987023659098826,0.3724527049452373,-0.014292226573766094,-3.264218032349726
EN3_0轴上金叉,XE_固定止损-15%,训练2015-2022,78503,-0.007145754990089669,0.35552781422366025,-0.01664313048261223,-5.418079083401641
EN3_0轴上金叉,XE_固定止损-15%,验证2023-2024,30252,-0.02232129617642738,0.3150535501785006,-0.015328331703932864,-2.974279519254771
EN3_0轴上金叉,XE_固定止损-15%,测试2025-2026,30009,0.03281788652989875,0.4354360358559099,-0.016553359979250882,-3.1832776559784364
EN3_0轴上金叉,XF_移动止盈8%,训练2015-2022,78503,0.000831062812857425,0.33886603059755677,-0.014264364327839663,-8.258969385580365
EN3_0轴上金叉,XF_移动止盈8%,验证2023-2024,30252,-0.012026029286888831,0.2976662699986778,-0.015977334127619366,-5.843951929686682
EN3_0轴上金叉,XF_移动止盈8%,测试2025-2026,30364,0.01523835060320709,0.3854235278619418,-0.012339106937924928,-4.497003697378067
EN3_0轴上金叉,XF_移动止盈12%,训练2015-2022,78503,0.0043464168319326205,0.35346419882042723,-0.012421588972525566,-6.372609994150156
EN3_0轴上金叉,XF_移动止盈12%,验证2023-2024,30252,-0.020713911087851502,0.29720349067830226,-0.020789810391375108,-7.30760616355169
EN3_0轴上金叉,XF_移动止盈12%,测试2025-2026,30241,0.023206089915312998,0.4104361628253034,-0.007213104889903909,-2.1834395388825745
EN3_0轴上金叉,XG_MACD死叉,训练2015-2022,78503,0.002594271271849244,0.3029565749079653,-0.014943749759324764,-8.821015995857996
EN3_0轴上金叉,XG_MACD死叉,验证2023-2024,30252,-0.006179083949501795,0.26054475737141347,-0.013878869485203565,-4.701073174545023
EN3_0轴上金叉,XG_MACD死叉,测试2025-2026,30499,0.005118170426307202,0.30650185251975476,-0.017768376731438038,-6.36945678399399
EN3_0轴上金叉,XH_hist连3日降,训练2015-2022,78503,0.0013447023281218896,0.3762531368227966,-0.01514086635190079,-8.592893281179405
EN3_0轴上金叉,XH_hist连3日降,验证2023-2024,30252,-0.008095689159053688,0.32549914055269075,-0.015232684431943961,-4.9711882407069545
EN3_0轴上金叉,XH_hist连3日降,测试2025-2026,30504,0.004238197203184541,0.3865722528193024,-0.019219537600141494,-6.648274850818015
EN4_柱连3日改善,XA_固定持有5日,训练2015-2022,3011840,0.0019818695943553295,0.4856635810667233,-0.0019196658889937403,-9.055104127861021
