entry,exit,seg,n_sig,cagr,mdd,win,exw,t_exw,n_days
R5_完整但不剔除D1,XD_ATR2倍止损,测试2025-2026,15105,-0.11641729966053638,-0.2745177778153609,0.5203836930455635,-0.0014053049310000442,-3.4240507071167237,418
R5_完整但不剔除D1,XD_ATR3倍止损,训练2015-2022,40077,-0.14185910808050795,-0.7759841687748142,0.5063879210220673,-0.0010563682459998635,-5.04311298793769,1947
R5_完整但不剔除D1,XD_ATR3倍止损,验证2023-2024,10830,-0.13119389959572114,-0.358685900949399,0.4752688172043011,-0.0008006472786090566,-2.0264063947752486,484
R5_完整但不剔除D1,XD_ATR3倍止损,测试2025-2026,15105,-0.10568704523789396,-0.26189320009340455,0.5251798561151079,-0.001354592168435523,-3.301479100331913,418
R5b_仅D1(完整),XA_固定持有5日,训练2015-2022,4304,-0.12987604665489283,-0.7319824972943023,0.5015353121801432,-0.0010764363352241699,-2.5879930708487944,1947
R5b_仅D1(完整),XA_固定持有5日,验证2023-2024,827,-0.18206002689804168,-0.45993129007777467,0.4359861591695502,-0.0012427173220987211,-1.5092958916857127,484
R5b_仅D1(完整),XA_固定持有5日,测试2025-2026,1501,-0.07267918616246438,-0.25488879767509465,0.5213675213675214,-0.0007358792081829102,-0.9067195354263899,418
R5b_仅D1(完整),XA_固定持有10日,训练2015-2022,4304,-0.05001541546208765,-0.5737139750807352,0.5132957292506044,-0.0006673199596223326,-1.8258634871986028,1947
R5b_仅D1(完整),XA_固定持有10日,验证2023-2024,827,-0.10004355626131778,-0.46454264195517603,0.4672364672364672,-0.0008478783572604589,-1.0759572735773955,484
R5b_仅D1(完整),XA_固定持有10日,测试2025-2026,1501,0.024654640668066108,-0.20352901232906584,0.5570934256055363,1.1704752065843697e-05,0.01690911105643135,418
R5b_仅D1(完整),XD_ATR2倍止损,训练2015-2022,4304,-0.043524545977693285,-0.5505830260607965,0.5167074164629177,-0.0005621237088533771,-1.528878281762252,1947
R5b_仅D1(完整),XD_ATR2倍止损,验证2023-2024,827,-0.04603454507448479,-0.3786279894430631,0.4714285714285714,-0.0005459016170920204,-0.679241499375307,484
R5b_仅D1(完整),XD_ATR2倍止损,测试2025-2026,1501,-0.011576155655632747,-0.20977899594372718,0.5536332179930796,-0.00020313079919276894,-0.28952291578726497,418
R5b_仅D1(完整),XD_ATR3倍止损,训练2015-2022,4304,-0.05017770771153174,-0.5742763140983393,0.5141471301535974,-0.0006357340132613232,-1.740415402308759,1947
R5b_仅D1(完整),XD_ATR3倍止损,验证2023-2024,827,-0.07526658101621242,-0.404831168033601,0.4657142857142857,-0.0007145348289878689,-0.8985428821872702,484
R5b_仅D1(完整),XD_ATR3倍止损,测试2025-2026,1501,-0.005273301549619802,-0.2172138517059682,0.5536332179930796,-0.00016205332964036614,-0.23297712316737734,418
R6_缩量更严(vz<-1.5),XA_固定持有5日,训练2015-2022,7932,-0.30692512953446016,-0.9534079157010166,0.47980501392757663,-0.0020143998314642243,-6.551839835111593,1947
R6_缩量更严(vz<-1.5),XA_固定持有5日,验证2023-2024,1887,-0.3765460386613452,-0.6493226857810833,0.44339622641509435,-0.0015869238684137702,-3.5009146164482967,484
R6_缩量更严(vz<-1.5),XA_固定持有5日,测试2025-2026,3358,-0.246555023459058,-0.40646859753473896,0.47733333333333333,-0.002043770590140182,-3.3251821893311444,418
R6_缩量更严(vz<-1.5),XA_固定持有10日,训练2015-2022,7932,-0.18123582907222047,-0.8489465176596301,0.5077591558038486,-0.0012299543725525794,-5.208956702520185,1947
R6_缩量更严(vz<-1.5),XA_固定持有10日,验证2023-2024,1887,-0.1846630913723868,-0.42788178580648284,0.4742729306487696,-0.0006975294292599824,-1.7860682691657859,484
R6_缩量更严(vz<-1.5),XA_固定持有10日,测试2025-2026,3358,-0.15762754584044003,-0.3071159541282701,0.5012224938875306,-0.0015619494175915388,-3.038133859740116,418
R6_缩量更严(vz<-1.5),XD_ATR2倍止损,训练2015-2022,7932,-0.16369730883885347,-0.8219184514058219,0.505276225946617,-0.0011208490230109989,-4.432833663313076,1947
R6_缩量更严(vz<-1.5),XD_ATR2倍止损,验证2023-2024,1887,-0.18973558277634373,-0.43314348769086275,0.4742729306487696,-0.0007342636971161243,-1.322240287685313,484
R6_缩量更严(vz<-1.5),XD_ATR2倍止损,测试2025-2026,3358,-0.19165090862514922,-0.35291599864369494,0.49877750611246946,-0.0017322782326301767,-3.3218305795993652,418
R6_缩量更严(vz<-1.5),XD_ATR3倍止损,训练2015-2022,7932,-0.16084055492711025,-0.8173703673177276,0.5127250155183116,-0.001112053970947597,-4.720122176673083,1947
R6_缩量更严(vz<-1.5),XD_ATR3倍止损,验证2023-2024,1887,-0.2137063059222445,-0.46615504356002346,0.47874720357941836,-0.0008687663657684313,-1.9456329447475418,484
R6_缩量更严(vz<-1.5),XD_ATR3倍止损,测试2025-2026,3358,-0.1779519944162864,-0.3346250460038386,0.49877750611246946,-0.001662203195578295,-3.1949128539349294,418
R7_用VR低位替vz,XA_固定持有5日,训练2015-2022,41360,-0.3026755282525907,-0.9567175960877641,0.48110377924415115,-0.001966419747036553,-9.482708739580108,1947
R7_用VR低位替vz,XA_固定持有5日,验证2023-2024,11385,-0.2733792808084582,-0.5614423891587146,0.44370860927152317,-0.001419841941110768,-3.3740160999787494,484
R7_用VR低位替vz,XA_固定持有5日,测试2025-2026,12174,-0.25574252636573624,-0.45506425632092684,0.49029126213592233,-0.0019666894786573145,-4.443012088754825,418
R7_用VR低位替vz,XA_固定持有10日,训练2015-2022,41360,-0.15600566896753165,-0.8283616164364945,0.5017321016166282,-0.0012478154529352002,-5.971912654928736,1947
R7_用VR低位替vz,XA_固定持有10日,验证2023-2024,11385,-0.07263837296236875,-0.38588652063968554,0.47578947368421054,-0.0006967539887823051,-1.6907300011913096,484
R7_用VR低位替vz,XA_固定持有10日,测试2025-2026,12174,-0.07301771754915642,-0.2486534450912452,0.5179856115107914,-0.001209874386142058,-2.873659464225194,418
R7_用VR低位替vz,XD_ATR2倍止损,训练2015-2022,41360,-0.1579257302690631,-0.8309314460633371,0.5037550548815714,-0.0012337458276096172,-5.874441516544747,1947
R7_用VR低位替vz,XD_ATR2倍止损,验证2023-2024,11385,-0.08519168943263467,-0.4001310565498052,0.48,-0.0007625131430997309,-1.7791359728083171,484
R7_用VR低位替vz,XD_ATR2倍止损,测试2025-2026,12174,-0.09731948477285235,-0.27997687242522906,0.5155875299760192,-0.001318247208271328,-3.121849648198337,418
R7_用VR低位替vz,XD_ATR3倍止损,训练2015-2022,41360,-0.1510315864438152,-0.8205062353500732,0.5046189376443418,-0.0012217724057358634,-5.819087103831209,1947
R7_用VR低位替vz,XD_ATR3倍止损,验证2023-2024,11385,-0.08755397463494086,-0.4048142740704509,0.47578947368421054,-0.0007700026486202686,-1.8220146231287007,484
R7_用VR低位替vz,XD_ATR3倍止损,测试2025-2026,12174,-0.08409566525278489,-0.2634884870229399,0.5179856115107914,-0.0012580150924904774,-2.9723653264201224,418
R8_仅缩量+没涨+低波(无超跌),XA_固定持有5日,训练2015-2022,324218,-0.2279554748554644,-0.9241659658645113,0.5010706638115632,-0.0016397199781485123,-6.923439130499329,1947
R8_仅缩量+没涨+低波(无超跌),XA_固定持有5日,验证2023-2024,136038,-0.16585020009610518,-0.45314004565786414,0.45905172413793105,-0.0009568666531336426,-3.494199793687801,484
R8_仅缩量+没涨+低波(无超跌),XA_固定持有5日,测试2025-2026,111292,-0.15352926668643763,-0.3099395731348439,0.49160671462829736,-0.0015752151725700338,-5.194511993248702,418
R8_仅缩量+没涨+低波(无超跌),XA_固定持有10日,训练2015-2022,324218,-0.10386340349830925,-0.7980581173470397,0.521259842519685,-0.0009133005407942624,-3.769118490420427,1947
R8_仅缩量+没涨+低波(无超跌),XA_固定持有10日,验证2023-2024,136038,-0.06281558032777257,-0.38432898635670487,0.4840085287846482,-0.0005171023018433497,-1.976888546135869,484
R8_仅缩量+没涨+低波(无超跌),XA_固定持有10日,测试2025-2026,111292,-0.006311427706536699,-0.23381572346017676,0.5227817745803357,-0.0009362754477072117,-3.0907370378035384,418
R8_仅缩量+没涨+低波(无超跌),XD_ATR2倍止损,训练2015-2022,324218,-0.1213964018362298,-0.8186670960248852,0.5213720316622691,-0.0010831444877468623,-4.72863275933318,1947
R8_仅缩量+没涨+低波(无超跌),XD_ATR2倍止损,验证2023-2024,136038,-0.0776183917691402,-0.36423351353128763,0.47761194029850745,-0.0005947914417834333,-1.7528257421090048,484
R8_仅缩量+没涨+低波(无超跌),XD_ATR2倍止损,测试2025-2026,111292,-0.03317080530779537,-0.2479608555679782,0.5251798561151079,-0.0010500726586625579,-3.3418141720299728,418
R8_仅缩量+没涨+低波(无超跌),XD_ATR3倍止损,训练2015-2022,324218,-0.11349511518600974,-0.8105464623830427,0.5234828496042216,-0.001047325001154194,-4.598223512710383,1947
R8_仅缩量+没涨+低波(无超跌),XD_ATR3倍止损,验证2023-2024,136038,-0.0736295069958457,-0.3711631507221069,0.47761194029850745,-0.0005714926638367661,-1.8345364385440717,484
R8_仅缩量+没涨+低波(无超跌),XD_ATR3倍止损,测试2025-2026,111292,-0.019842419518346532,-0.23981212049604528,0.5251798561151079,-0.0009936604015960068,-3.2573632853443533,418
R9_仅超跌+没涨+低波(无缩量),XA_固定持有5日,训练2015-2022,120526,-0.3870827178303453,-0.9834645389581785,0.4490846681922197,-0.0024348639468257296,-11.623209696181311,1947
