factor,factor_cn,group,decile,n,exw,t
sl20,MA20斜率,趋势,7,1032528,-0.0006509741708679967,-2.1033640756915895
sl20,MA20斜率,趋势,8,1032187,-0.0014591956676144294,-4.141460776549476
sl20,MA20斜率,趋势,9,1032489,-0.0022579362803678343,-5.363491308106189
sl20,MA20斜率,趋势,10,1033930,-0.004270145017199925,-7.3908383669180475
sl60,MA60斜率,趋势,1,1009774,-0.007560989213420345,-8.326341130541866
sl60,MA60斜率,趋势,2,1011147,-0.0038947905640476905,-7.4362468765628105
sl60,MA60斜率,趋势,3,1011442,-0.002330919561064591,-6.519474285740603
sl60,MA60斜率,趋势,4,1011123,-0.001187394915544,-3.98772224400469
sl60,MA60斜率,趋势,5,1010943,-0.0008717658670797322,-3.0110679919706382
sl60,MA60斜率,趋势,6,1011681,-0.0009562854319678963,-3.209323158323885
sl60,MA60斜率,趋势,7,1011430,-0.0011796919857311365,-3.6769889847517954
sl60,MA60斜率,趋势,8,1011134,-0.0011963787217345485,-3.230760906976713
sl60,MA60斜率,趋势,9,1011462,-0.0012619253036626756,-2.922086750320356
sl60,MA60斜率,趋势,10,1012858,-0.0018248262600390323,-3.0363570886651683
dif,DIF,MACD,1,1040833,-0.0010076917256931896,-1.6058212300547583
dif,DIF,MACD,2,1042250,0.001791206259658553,4.19923207277785
dif,DIF,MACD,3,1042533,0.0024923537221022748,6.779248627077043
dif,DIF,MACD,4,1042257,0.003360566893393976,9.25963445681899
dif,DIF,MACD,5,1041945,0.0034053390629945725,9.73054132551471
dif,DIF,MACD,6,1042808,0.0023074562094735985,6.365174349019115
dif,DIF,MACD,7,1042522,0.000127578936424943,0.3265382337874818
dif,DIF,MACD,8,1042255,-0.003477481215988603,-8.353462981954658
dif,DIF,MACD,9,1042499,-0.009532828032978486,-16.91806801434175
dif,DIF,MACD,10,1043932,-0.017382373398084114,-18.606509915305228
dea,DEA,MACD,1,1040832,-0.0011372575706363732,-1.845554219272655
dea,DEA,MACD,2,1042251,0.0015784417000713996,3.6825265337119757
dea,DEA,MACD,3,1042529,0.0020683379648846227,5.52761834098267
dea,DEA,MACD,4,1042258,0.0024801146001445337,6.816637553914269
dea,DEA,MACD,5,1041949,0.002774590617007893,7.677919455561361
dea,DEA,MACD,6,1042810,0.001925269397328948,5.233477370189689
dea,DEA,MACD,7,1042516,-0.00039375553330145175,-1.01595734794591
dea,DEA,MACD,8,1042255,-0.003611336117261384,-8.676837510491698
dea,DEA,MACD,9,1042498,-0.008555290644142411,-15.346283141642349
dea,DEA,MACD,10,1043936,-0.015049859261687917,-16.41470865940903
hist,MACD柱,MACD,1,1040819,-0.005539022958208665,-8.298762878894147
hist,MACD柱,MACD,2,1042242,-0.00047158561538243095,-1.1603868665009065
hist,MACD柱,MACD,3,1042528,0.002035548439942953,5.828589520823947
hist,MACD柱,MACD,4,1042256,0.0036180074792616485,10.383363417767036
hist,MACD柱,MACD,5,1041951,0.003846441723723985,10.504356185141084
hist,MACD柱,MACD,6,1042818,0.002952466887644938,7.981976638999296
hist,MACD柱,MACD,7,1042526,0.0010314839425083855,2.827734124563895
hist,MACD柱,MACD,8,1042251,-0.002000930066254254,-5.155903379802011
hist,MACD柱,MACD,9,1042500,-0.007232507741973839,-15.610190990163817
hist,MACD柱,MACD,10,1043943,-0.016170052099303504,-21.1540504377332
hist_z,MACD柱Z,MACD,1,1028188,-0.0034627731600971965,-7.050587873731792
hist_z,MACD柱Z,MACD,2,1029575,-0.001235416723695813,-3.5554540279865283
hist_z,MACD柱Z,MACD,3,1029866,-0.0007746930488417754,-2.751103586966603
hist_z,MACD柱Z,MACD,4,1029587,-3.0996350718666666e-05,-0.12067905950069041
hist_z,MACD柱Z,MACD,5,1029296,0.0005258501444436583,2.047523538604337
hist_z,MACD柱Z,MACD,6,1030157,0.00029399831467977916,1.075847529209406
hist_z,MACD柱Z,MACD,7,1029830,3.8100636723502482e-06,0.01288681342626755
hist_z,MACD柱Z,MACD,8,1029618,-0.001186481752360132,-3.5941338069127085
hist_z,MACD柱Z,MACD,9,1029828,-0.003881215709575246,-9.19567321909507
hist_z,MACD柱Z,MACD,10,1031243,-0.012389264856863626,-19.163235409803594
dhist1,MACD柱1日变化,MACD,1,1040825,-0.010246733268149271,-14.292955456629212
dhist1,MACD柱1日变化,MACD,2,1042248,-0.0036829043657115833,-8.469746388964955
dhist1,MACD柱1日变化,MACD,3,1042531,7.400977096738672e-05,0.20427974431597723
dhist1,MACD柱1日变化,MACD,4,1042253,0.0022128654896988132,6.363720952310405
dhist1,MACD柱1日变化,MACD,5,1041944,0.0033227768153126632,9.480065061727586
dhist1,MACD柱1日变化,MACD,6,1042816,0.0031943116835681726,9.10429733139097
dhist1,MACD柱1日变化,MACD,7,1042520,0.002450580167091791,6.883714844432831
dhist1,MACD柱1日变化,MACD,8,1042261,0.0005511717489068746,1.5558371674340215
dhist1,MACD柱1日变化,MACD,9,1042506,-0.0034212984706983507,-8.530363630310442
dhist1,MACD柱1日变化,MACD,10,1043930,-0.012404550433658486,-18.47618155753583
dhist3,MACD柱3日变化,MACD,1,1040392,-0.009243995721485144,-13.1456326383433
dhist3,MACD柱3日变化,MACD,2,1041814,-0.002999965843348352,-6.916987979593807
dhist3,MACD柱3日变化,MACD,3,1042082,0.00043561178945836167,1.2100710240649428
dhist3,MACD柱3日变化,MACD,4,1041831,0.0025420335260602886,7.256997159856374
dhist3,MACD柱3日变化,MACD,5,1041514,0.0032606169164198944,9.290533430316362
dhist3,MACD柱3日变化,MACD,6,1042378,0.0030650514986482534,8.535240288569481
dhist3,MACD柱3日变化,MACD,7,1042085,0.002265922078417572,6.385080646961882
dhist3,MACD柱3日变化,MACD,8,1041835,-0.00028463593364377675,-0.7916177549144179
dhist3,MACD柱3日变化,MACD,9,1042067,-0.004657121504549632,-11.41710099137913
dhist3,MACD柱3日变化,MACD,10,1043497,-0.012531136293909385,-18.52106133998995
hist_upstreak,MACD柱连续改善天数,MACD,1,860645,-0.006836121453330645,-12.406643881591558
hist_upstreak,MACD柱连续改善天数,MACD,2,1180194,-0.00414978599284313,-9.31321445324589
hist_upstreak,MACD柱连续改善天数,MACD,3,1028852,-0.0022764329527241245,-5.2706269726447985
hist_upstreak,MACD柱连续改善天数,MACD,4,1028722,-0.0005631693440867138,-1.5544832793143228
hist_upstreak,MACD柱连续改善天数,MACD,5,1053532,-1.6330855026521998e-05,-0.056062674749270194
hist_upstreak,MACD柱连续改善天数,MACD,6,1041231,-0.00033812250787377716,-0.8689591807391683
hist_upstreak,MACD柱连续改善天数,MACD,7,1104564,-0.001275522642759773,-3.3870364949351246
hist_upstreak,MACD柱连续改善天数,MACD,8,1192181,-0.001825055219279154,-4.376224093644073
hist_upstreak,MACD柱连续改善天数,MACD,9,1139085,-0.004793534230896369,-9.522206196654889
hist_upstreak,MACD柱连续改善天数,MACD,10,786149,-0.009018175996988731,-14.64846453394377
rvol20,VOL/VOL20,量能,1,1036710,-0.003410624812462161,-8.023891490685742
rvol20,VOL/VOL20,量能,2,1038122,-0.0018698597682515216,-6.059711454675572
rvol20,VOL/VOL20,量能,3,1038387,-0.0006654494615268215,-2.476500745958379
rvol20,VOL/VOL20,量能,4,1038150,8.081130049183349e-05,0.3083433472138982
rvol20,VOL/VOL20,量能,5,1037828,0.00043265667322042213,1.7661546467376918
rvol20,VOL/VOL20,量能,6,1038680,0.00019133959458173124,0.7799277928815991
rvol20,VOL/VOL20,量能,7,1038398,7.389881215891675e-05,0.2776985255763542
rvol20,VOL/VOL20,量能,8,1038131,-0.0007224684554777142,-2.5009219054531435
rvol20,VOL/VOL20,量能,9,1038385,-0.0027495546876281276,-7.904686424302423
rvol20,VOL/VOL20,量能,10,1039790,-0.010738561690261076,-20.849227032307773
vr20m,VR20,量能,1,1036707,-0.0035947082895428253,-8.593104016957753
vr20m,VR20,量能,2,1038127,-0.0022911358317557065,-7.297969919787943
vr20m,VR20,量能,3,1038388,-0.0007760222977264167,-2.854209248928538
vr20m,VR20,量能,4,1038149,-3.324979365394046e-05,-0.1308615293782586
vr20m,VR20,量能,5,1037825,0.0003664994093218135,1.475614304533573
vr20m,VR20,量能,6,1038678,0.0006524875002246424,2.5966916562676214
vr20m,VR20,量能,7,1038406,0.00019527232382088647,0.7432800759846127
vr20m,VR20,量能,8,1038125,-0.0007589640367702301,-2.5736446332901863
vr20m,VR20,量能,9,1038384,-0.002659768630133215,-7.511087640117965
vr20m,VR20,量能,10,1039792,-0.010479482979125578,-21.30886982569667
vt_5_20,VOL5/VOL20,量能,1,1036926,-0.002959721300646574,-7.204869761203806
vt_5_20,VOL5/VOL20,量能,2,1038340,-0.0014841264376689945,-4.911517013589687
vt_5_20,VOL5/VOL20,量能,3,1038603,-0.0007090470621202512,-2.611187228401196
vt_5_20,VOL5/VOL20,量能,4,1038364,-0.0001135857677444353,-0.4450244866843432
vt_5_20,VOL5/VOL20,量能,5,1038039,0.0004338518053460362,1.7490338089932886
vt_5_20,VOL5/VOL20,量能,6,1038893,0.0004900874788245557,1.9621147617549197
vt_5_20,VOL5/VOL20,量能,7,1038620,-0.00027232089484250456,-0.9696282472912953
vt_5_20,VOL5/VOL20,量能,8,1038352,-0.0010031005056668361,-3.2194930849602073
vt_5_20,VOL5/VOL20,量能,9,1038599,-0.0030555960646935316,-8.282460433159278
vt_5_20,VOL5/VOL20,量能,10,1040018,-0.010632080587982541,-20.47459370414894
vt_20_60,VOL20/VOL60,量能,1,1028197,-0.0008387422628184256,-1.7574062538616466
vt_20_60,VOL20/VOL60,量能,2,1029574,0.00032942425599152456,1.0031454746511237
vt_20_60,VOL20/VOL60,量能,3,1029861,1.4162487289615684e-05,0.05135975895417447
vt_20_60,VOL20/VOL60,量能,4,1029592,6.0365378973055644e-05,0.22669826264462895
vt_20_60,VOL20/VOL60,量能,5,1029295,9.303113450842714e-05,0.3571696200070041
vt_20_60,VOL20/VOL60,量能,6,1030150,-0.0004878729287359414,-1.777329505620232
vt_20_60,VOL20/VOL60,量能,7,1029834,-0.001282892402569311,-4.322910200979397
vt_20_60,VOL20/VOL60,量能,8,1029612,-0.002933733022532089,-8.662891547883813
vt_20_60,VOL20/VOL60,量能,9,1029824,-0.005469241316152598,-14.14079434868605
vt_20_60,VOL20/VOL60,量能,10,1031249,-0.011621202364207056,-21.760139964551136
dvt5,5日量能趋势,量能,1,1035850,-0.004790268814830864,-12.195697740940016
dvt5,5日量能趋势,量能,2,1037252,-0.002477431136480234,-8.093249833344004
dvt5,5日量能趋势,量能,3,1037520,-0.0013055985119031185,-4.616291862073138
dvt5,5日量能趋势,量能,4,1037272,-0.0005546762295502871,-2.150008245351477
dvt5,5日量能趋势,量能,5,1036961,-0.00042438937971057695,-1.6545139375351021
dvt5,5日量能趋势,量能,6,1037797,9.710416600785133e-06,0.038547941619425506
dvt5,5日量能趋势,量能,7,1037533,3.502617600902175e-05,0.14388966620344928
dvt5,5日量能趋势,量能,8,1037256,-0.0007034735345957622,-2.562682992030719
dvt5,5日量能趋势,量能,9,1037507,-0.0016394112131587818,-5.28470415242201
dvt5,5日量能趋势,量能,10,1038932,-0.00786767031823927,-17.757038046589336
