entry,exit,n_sig,avg_hold,cagr,mdd,win,sharpe,exw,t_exw,n_active_days
R6_缩量更严(vz<-1.5),XD_ATR2倍止损,13177,9.406617591257493,-0.17111741807158054,-0.922107087177083,0.49858127280097286,-0.7608307114070485,-0.0011521708333309154,-5.439945277493605,2467
R6_缩量更严(vz<-1.5),XD_ATR3倍止损,13177,9.778401760643545,-0.1713687747206536,-0.9223757723544918,0.5042561815970815,-0.7890531738642123,-0.0011591806322199393,-5.974282231829375,2467
R7_用VR低位替vz,XA_固定持有5日,64919,4.9940387251806095,-0.28916910920778294,-0.9871535970021398,0.4759083728278041,-1.639527461832692,-0.0018686754276618976,-10.882024847011992,2532
R7_用VR低位替vz,XA_固定持有10日,64919,9.978989201928558,-0.12957585554862783,-0.8856142344966645,0.4996189024390244,-0.5388264511995292,-0.0011420320610429115,-6.699603136648936,2624
R7_用VR低位替vz,XD_ATR2倍止损,64919,9.35068315901354,-0.13626100636346705,-0.8950777417621351,0.5013343499809378,-0.5850711797029744,-0.0011618440169324298,-6.7382617790844135,2623
R7_用VR低位替vz,XD_ATR3倍止损,64919,9.750504474807068,-0.13001000298348364,-0.8862625488163544,0.5015243902439024,-0.547007606518435,-0.0011457520420722837,-6.6627644034036235,2624
R8_仅缩量+没涨+低波(无超跌),XA_固定持有5日,571817,4.992522083114003,-0.2072030048504958,-0.960860974122527,0.49236918604651164,-0.9270855617557602,-0.0015124815587577076,-8.716669694827392,2752
R8_仅缩量+没涨+低波(无超跌),XA_固定持有10日,571817,9.966132521418565,-0.08428325909876755,-0.8419982378968836,0.5150322118826056,-0.23973040437825377,-0.0008483846986312044,-4.797450218309011,2794
R8_仅缩量+没涨+低波(无超跌),XD_ATR2倍止损,571817,9.123053354482291,-0.10248261745206855,-0.8592116932141779,0.514367816091954,-0.3407085385512052,-0.0009938978103002703,-5.7574880913656505,2784
R8_仅缩量+没涨+低波(无超跌),XD_ATR3倍止损,571817,9.620910186300861,-0.09455546136781523,-0.8513364872199054,0.5158045977011494,-0.30123355012891206,-0.0009571367817874469,-5.631620300895209,2784
R9_仅超跌+没涨+低波(无缩量),XA_固定持有5日,222614,4.99411537459459,-0.35676650081510164,-0.9956849403386249,0.4502082544490723,-2.0103787958533545,-0.00230306851263716,-13.191714616965653,2641
R9_仅超跌+没涨+低波(无缩量),XA_固定持有10日,222614,9.98010906771362,-0.1911880904571711,-0.9464145220630429,0.4836309523809524,-0.8941772855567144,-0.0013752721014217782,-7.706651206137348,2688
R9_仅超跌+没涨+低波(无缩量),XD_ATR2倍止损,222614,9.290974511935458,-0.19606964312060193,-0.949713486275051,0.48251488095238093,-0.9329460652310866,-0.001402677564743234,-7.728040571960038,2688
R9_仅超跌+没涨+低波(无缩量),XD_ATR3倍止损,222614,9.719990656472639,-0.190426248317775,-0.9455264651552155,0.4836309523809524,-0.895838636011426,-0.0013724101192887242,-7.598676472798179,2688
