entry,exit,train,test,n_sig,cagr,win,exw,t_exw
R5_完整但不剔除D1,XA_固定持有10日,2021-2025,2026,4669,-0.10396748374218101,0.5229885057471264,-0.0005173828071307675,-0.7003477049744401
R5_完整但不剔除D1,XD_ATR2倍止损,2015-2019,2020,3885,0.16165289789656612,0.5394190871369294,-0.0005219197180521586,-0.7709582510293943
R5_完整但不剔除D1,XD_ATR2倍止损,2016-2020,2021,5185,-0.05591154473094673,0.5596707818930041,-0.0012915611047893908,-4.183172315666322
R5_完整但不剔除D1,XD_ATR2倍止损,2017-2021,2022,8517,-0.3335162140934781,0.5206611570247934,-0.0012171060906223667,-2.535322466805551
R5_完整但不剔除D1,XD_ATR2倍止损,2018-2022,2023,7198,-0.0068292355792953785,0.49586776859504134,-0.0005342481885745431,-1.756307126685276
R5_完整但不剔除D1,XD_ATR2倍止损,2019-2023,2024,3632,-0.2599729325320397,0.452914798206278,-0.001217161995267492,-1.5405414773506325
R5_完整但不剔除D1,XD_ATR2倍止损,2020-2024,2025,10436,-0.12202815076482598,0.5185185185185185,-0.0020260034104016165,-4.392210717208061
R5_完整但不剔除D1,XD_ATR2倍止损,2021-2025,2026,4669,-0.10856671905821891,0.5229885057471264,-0.0005384673994219864,-0.7276544084375153
R5_完整但不剔除D1,XD_ATR3倍止损,2015-2019,2020,3885,0.14391248644390986,0.5330578512396694,-0.00046561050927222447,-0.6913530162583907
R5_完整但不剔除D1,XD_ATR3倍止损,2016-2020,2021,5185,-0.04832435110293465,0.5637860082304527,-0.001259573386177556,-4.054132466635345
R5_完整但不剔除D1,XD_ATR3倍止损,2017-2021,2022,8517,-0.3250988774532796,0.5206611570247934,-0.0011672984778654369,-2.432094263515207
R5_完整但不剔除D1,XD_ATR3倍止损,2018-2022,2023,7198,-0.0064302500891849634,0.5,-0.0005327175978132437,-1.7509739705316103
R5_完整但不剔除D1,XD_ATR3倍止损,2019-2023,2024,3632,-0.24029084000650713,0.4484304932735426,-0.0010914050488000284,-1.4448560286383791
R5_完整但不剔除D1,XD_ATR3倍止损,2020-2024,2025,10436,-0.10574339809448452,0.5267489711934157,-0.0019487950576742713,-4.212609339589647
R5_完整但不剔除D1,XD_ATR3倍止损,2021-2025,2026,4669,-0.10560878938220397,0.5229885057471264,-0.0005247570989814089,-0.7106697999630802
R5b_仅D1(完整),XA_固定持有5日,2015-2019,2020,503,-0.3230748791982896,0.48520710059171596,-0.0028317806298706096,-2.3778236711968805
R5b_仅D1(完整),XA_固定持有5日,2016-2020,2021,570,0.013127251494364112,0.5,-0.00110625598639349,-1.1160520647258705
R5b_仅D1(完整),XA_固定持有5日,2017-2021,2022,1003,-0.2160277421400807,0.4714285714285714,-0.0008810294716289468,-0.832671444691023
R5b_仅D1(完整),XA_固定持有5日,2018-2022,2023,518,-0.1518012608495397,0.43902439024390244,-0.0012624304518260774,-1.5709186808756193
R5b_仅D1(完整),XA_固定持有5日,2019-2023,2024,309,-0.21123933729479905,0.432,-0.0012168536958964305,-0.7655384740449167
R5b_仅D1(完整),XA_固定持有5日,2020-2024,2025,1000,-0.08343144701643268,0.5244755244755245,-0.0013814847955115747,-1.5255377245927166
R5b_仅D1(完整),XA_固定持有5日,2021-2025,2026,501,-0.057539411051593325,0.5164835164835165,0.00027864385761927743,0.18243187331161664
R5b_仅D1(完整),XA_固定持有10日,2015-2019,2020,503,-0.2183051068999724,0.4827586206896552,-0.0024718449632964022,-2.3953092139984733
R5b_仅D1(完整),XA_固定持有10日,2016-2020,2021,570,0.06605391866868882,0.5380710659898477,-0.0008565136521528148,-1.2348971027525433
R5b_仅D1(完整),XA_固定持有10日,2017-2021,2022,1003,-0.2453000406570196,0.46629213483146065,-0.0007603703229522351,-0.883391204595605
R5b_仅D1(完整),XA_固定持有10日,2018-2022,2023,518,-0.12541871842827212,0.4742268041237113,-0.0011781139607668005,-1.4598597297495324
R5b_仅D1(完整),XA_固定持有10日,2019-2023,2024,309,-0.07393215737335601,0.4585987261146497,-0.0004398165287239602,-0.30226349717880296
R5b_仅D1(完整),XA_固定持有10日,2020-2024,2025,1000,-0.02228177917685381,0.5375722543352601,-0.0005401797605174227,-0.6093944525916242
R5b_仅D1(完整),XA_固定持有10日,2021-2025,2026,501,0.09358893073125985,0.5862068965517241,0.0008347738958322671,0.7535711205690534
R5b_仅D1(完整),XD_ATR2倍止损,2015-2019,2020,503,-0.15925544503459133,0.504950495049505,-0.0021715488306875046,-2.179885740219091
R5b_仅D1(完整),XD_ATR2倍止损,2016-2020,2021,570,0.08037051379939464,0.5380710659898477,-0.000792726009396433,-1.1425825859428835
R5b_仅D1(完整),XD_ATR2倍止损,2017-2021,2022,1003,-0.2692331868573581,0.45348837209302323,-0.0006062848042578299,-0.6771687002066454
R5b_仅D1(完整),XD_ATR2倍止损,2018-2022,2023,518,0.018145577572216354,0.49222797927461137,-0.00041768136666653935,-0.5833786467561711
